Производитель,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB
Страна,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия
Наименование/Серия,Basic 55,Reflex,Busch-Duro,Spring,Alpha,Alpha Exclusive,Future/Future Linear,Solo,Axcent,Impuls,Pure Steel,Carat

Тэг 1,,,,,Классический дизайн,Классический дизайн,,,,,,
Тэг 2,,,,,,,,,,,,Натуральные материалы

Группа устройств: Общее
Розетка с заземлением,20 EUC-X1-507,20 EUC-X1-507,20 EUC-X1-507,20 EUC-X1-507,20 EUC-X1,20 EUC-X1,20 EUC-X1,20 EUC-X1,20 EUC-X1,20 EUC-X1-507,20 EUC-X1,20 EUC-X1
Розетка с заз.и крышкой,20 EUK-X1-507,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1,20 EUK-X1
Розетка TV,1743-01-X1-507,1743-01-X1-500,1743-01-X1-500,1743-01-X1-500,,,,,,,,
Розетка TV+R,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503,5011-A3503
,1743-X1-507,2531-X1-507,2531-X1-507,2531-X1-507,1743-X1,1743-X1,1743-X1,1743-X1,1743-X1,1743-X1,1743-X1,1743-X1
Розетка TF,0211/11-507,0211/11-507,0211/11-507,0211/11-507,0213-507,0213-507,0213-507,0213-507,0213-507,0213-507,0213-507,0213-507
,2561-X1-507,2561-X1,2561-X1,2561-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1
Розетка TF двойная,0220/12-507,0211/11-507*2,0211/11-507*2,0211/11-507*2,0220/12-507,0220/12-507,0220/12-507,0220/12-507,0220/12-507,0220/12-507,0220/12-507,0220/12-507
,1803-02-X1-507,2561-02-X1,2561-02-X1,2561-02-X1,1803-02-X1,1803-02-X1,1803-02-X1,1803-02-X1,1803-02-X1,1803-02-X1,1803-02-X1,1803-02-X1
Розетка компьютер н/э,0211/11-507,0211/11-507,0211/11-507,0211/11-507,0220-507,0220-507,0220-507,0220-507,0220-507,0220-507,0220-507,0220-507
,2561-X1-507,2561-X1,2561-X1,2561-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1,1803-X1
Выключатель 1-кл.,2006/1 UC-X1-507,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US,2001/6 U-507,2000/1 US-500,2000/1 US-500
,,2506-X1-507,2506-X1-507,2506-X1-507,1786-X1,1786-X1,1786-X1,1786-X1,1786-X1,1786-X1-507,1786-X1,1786-X1
Выключатель 1-кл.прох.,2006/6 UC-X1-507,2000/6 US-507,2000/6 US-507,2000/6 US-507,2000/6 US-507,2000/6 US-507,2000/6 US-507,2000/6 US-507,2000/6 US,2001/6 U-507,2000/6 US-507,2000/6 US-507
,,2506-X1-507,2506-X1-507,2506-X1-507,1786-X1,1786-X1,1786-X1,1786-X1,1786-X1,1786-X1-507,1786-X1,1786-X1
Выключатель 2-кл.,2006/5 UC-X1-507,2000/5 US-507,2000/5 US-507,2000/5 US-507,2000/5 US-507,2000/5 US-507,2000/5 US-507,2000/5 US-507,2000/5 US,2001/5 U-507,2000/5 US-507,2000/5 US-507
,,2505-X1-507,2505-X1-507,2505-X1-507,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1
Выключатель 2-кл.прох.,2006/6/6 UC-X1-507,2000/6/6 US-101-500,2000/6/6 US-101-500,2000/6/6 US-101-500,2000/6/6 US-101-500,2000/6/6 US-101-500,2000/6/6US-101-500,2000/6/6US-101-500,2000/6/6US-101-500,2001/6/6 U,2000/6/6US-101-500,2000/6/6US-101-500
,,2505-X1-507,2505-X1-507,2505-X1-507,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1,1785-X1
Выключатель 1-кл. подсв.,2006/1 UCGL-X1-507,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US-500,2000/1 US,2001/6 U-507,2000/1 US-500,2000/1 US-500
,,2509-X1-500,2509-X1-500,2509-X1-500,1789-X1,1789-X1,1789-X1,1789-X1,1789-X1,1786-X1-507,1789-X1,1789-X1
,,3916-12221,3916-12221,3916-12221,3916-12221,3916-12221,3916-12221,3916-12221,3916-12221 ,,3916-12221,3916-12221
Диммер повор. 400Вт,2251 UCGL-X1-507,2200 UJ-212,2200 UJ-212,2200 UJ-212,,,,,,,,
Диммер повор. 600Вт,2250 U-507,2250 U-507,2250 U-507,2250 U-507,2250 U-507,2250 U-507,2250 U-507,2250 U-507,2250 U,2250 U-507,2250 U-507,2250 U-507
,2115-X1-507,2115-X1,2115-X1,2115-X1,6540-X1,6540-X1,6540-X1-102,6540-X1-102,6540-X1,6540-X1,6540-X1-102,6540-X1-102
Диммер сенсорный 500Вт,,6560 U-101,6560 U-101,6560 U-101,6560 U-101,6560 U-101,6560 U-101,6560 U-101,6560 U,6560 U-101,6560 U-101,6560 U-101
,,6543-X1-102,6543-X1-102,6543-X1-102,6543-X1-102,6543-X1-102,6543-X1-101,6543-X1-101,6543-X1,6543-X1-101,6543-X1-101,6543-X1-101
Датчик дв./комф.выкл.,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,,6815 U,6815 U
